,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
64,032303010101223,0010000011101111,0,8.0,4.0,0.390625,-4.0,8,601,033212121010301,1
65,030103032321221,0010000100000101,0,8.0,2.0,0.46875,-2.0,4,266,033032321210121,1
66,030103032321221,0010000100010101,0,8.0,2.0,0.46875,-2.0,5,266,033032321210121,1
67,032230030101123,0010000100101001,3,8.0,5.0,0.375,-4.7,5,14,032212101103301,3
68,032230030101123,0010000100101011,3,8.0,5.0,0.375,-4.7,6,14,032212101103301,3
69,032230030101210,0010000100101101,2,8.0,5.0,0.34375,-4.8,6,10,032303010012210,2
70,032230030101210,0010000100101111,2,8.0,5.0,0.34375,-4.8,7,10,032303010012210,2
71,032230030101123,0010000100111001,3,8.0,5.0,0.375,-4.7,6,14,032212101103301,3
72,032230030101210,0010000100111101,2,8.0,5.0,0.34375,-4.8,7,10,032303010012210,2
73,030103032321221,0010000101000101,0,8.0,2.0,0.46875,-2.0,5,266,033032321210121,1
74,032330101100323,0010000101010010,3,8.0,4.0,0.328125,-3.7,5,4,030112212100301,3
75,030103032321221,0010000101010101,0,8.0,2.0,0.46875,-2.0,6,266,033032321210121,1
76,032330101100323,0010000101010110,3,8.0,4.0,0.328125,-3.7,6,4,030112212100301,3
77,032330103011123,0010000110011001,2,9.0,5.0,0.3680555555555556,-4.8,6,13,032221012100301,2
78,032230030101123,0010000110101001,3,8.0,5.0,0.375,-4.7,6,14,032212101103301,3
79,032230030101123,0010000110101011,3,8.0,5.0,0.375,-4.7,7,14,032212101103301,3
80,032330103011123,0010000110111001,2,9.0,5.0,0.3680555555555556,-4.8,7,13,032221012100301,2
81,032300301012123,0010001000001001,1,8.0,3.0,0.390625,-2.9,4,127,032321210110301,1
82,032300301012123,0010001000001011,1,8.0,3.0,0.390625,-2.9,5,127,032321210110301,1
83,032300301012123,0010001000001101,1,8.0,3.0,0.390625,-2.9,5,127,032321210110301,1
84,032300301012123,0010001000001111,1,8.0,3.0,0.390625,-2.9,6,127,032321210110301,1
85,032300300121210,0010001000011101,2,8.0,4.0,0.375,-3.8,6,5,032323001001210,1
86,032300301012123,0010001000101001,1,8.0,3.0,0.390625,-2.9,5,127,032321210110301,1
87,032300301012123,0010001000101011,1,8.0,3.0,0.390625,-2.9,6,127,032321210110301,1
88,030103033212321,0010001000111101,1,8.0,4.0,0.328125,-3.9,7,82,032303221210121,1
89,030103033212321,0010001000111111,1,8.0,4.0,0.328125,-3.9,8,82,032303221210121,1
90,032300301012123,0010001001001001,1,8.0,5.0,0.390625,-4.9,5,127,032321210110301,1
91,032300301012123,0010001001001011,1,8.0,5.0,0.390625,-4.9,6,127,032321210110301,1
92,032300301012123,0010001001001101,1,8.0,5.0,0.390625,-4.9,6,127,032321210110301,1
93,032300301012123,0010001001001111,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
94,032230301010121,0010001001010010,1,7.0,4.0,0.36607142857142855,-3.9,5,50,030101012123321,1
95,032230301010121,0010001001010110,1,7.0,4.0,0.36607142857142855,-3.9,6,50,030101012123321,1
96,032300301012123,0010001001011001,1,8.0,5.0,0.390625,-4.9,6,127,032321210110301,1
97,032230301010121,0010001001011010,1,7.0,4.0,0.36607142857142855,-3.9,6,50,030101012123321,1
98,032300301012123,0010001001011011,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
99,032300301012123,0010001001011101,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
100,032300301012123,0010001001101001,1,8.0,5.0,0.390625,-4.9,6,127,032321210110301,1
101,032300301012123,0010001001101011,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
102,032230301010121,0010001001110010,1,7.0,4.0,0.36607142857142855,-3.9,6,50,030101012123321,1
